altitude_asl_m,altitude_agl_m,density_kg_m3,pressure_pa,temperature_K,gravity_m_s2,wind_x_m_s,wind_y_m_s,speed_of_sound_m_s,dynamic_viscosity_pa_s
4966.100,4750.000,0.736156866,55008.9621,259.983111,9.78673473,22.9939873,-1.91098583,323.222128,1.65005981e-05
5016.100,4800.000,0.732261778,54649.562,259.657854,9.7865808,23.0345995,-1.87145183,323.019922,1.64841217e-05
5066.100,4850.000,0.728366689,54290.162,259.332597,9.78642687,23.0752117,-1.83191782,322.817717,1.64676452e-05
5116.100,4900.000,0.724471601,53930.762,259.00734,9.78627294,23.1158239,-1.79238382,322.615512,1.64511687e-05
5166.100,4950.000,0.720576512,53571.362,258.682083,9.78611902,23.1564361,-1.75284982,322.413307,1.64346923e-05
5216.100,5000.000,0.716681423,53211.9619,258.356826,9.7859651,23.1970483,-1.71331581,322.211102,1.64182158e-05
5266.100,5050.000,0.712786335,52852.5619,258.031569,9.78581118,23.2376605,-1.67378181,322.008897,1.64017394e-05
5316.100,5100.000,0.708891246,52493.1619,257.706311,9.78565727,23.2782727,-1.63424781,321.806691,1.63852629e-05
5366.100,5150.000,0.704996157,52133.7618,257.381054,9.78550336,23.3188849,-1.5947138,321.604486,1.63687864e-05
5416.100,5200.000,0.701101069,51774.3618,257.055797,9.78534946,23.3594971,-1.5551798,321.402281,1.635231e-05
5466.100,5250.000,0.69720598,51414.9618,256.73054,9.78519556,23.4001093,-1.5156458,321.200076,1.63358335e-05
5516.100,5300.000,0.693310892,51055.5618,256.405283,9.78504166,23.4407215,-1.47611179,320.997871,1.63193571e-05
5566.100,5350.000,0.689415803,50696.1617,256.080026,9.78488777,23.4813337,-1.43657779,320.795665,1.63028806e-05
5616.100,5400.000,0.685520714,50336.7617,255.754769,9.78473387,23.5219459,-1.39704379,320.59346,1.62864042e-05
5666.100,5450.000,0.681655498,49980.7554,255.428946,9.78457999,23.5834014,-1.35994227,320.390644,1.62698796e-05
5716.100,5500.000,0.678234656,49675.2338,255.094706,9.7844261,23.9549156,-1.3590257,320.178736,1.62526393e-05
5766.100,5550.000,0.674813814,49369.7123,254.760465,9.78427222,24.3264299,-1.35810914,319.966828,1.62353989e-05
5816.100,5600.000,0.671392972,49064.1907,254.426225,9.78411835,24.6979442,-1.35719257,319.754919,1.62181586e-05
5866.100,5650.000,0.66797213,48758.6691,254.091984,9.78396448,25.0694584,-1.35627601,319.543011,1.62009183e-05
5916.100,5700.000,0.664551287,48453.1475,253.757743,9.78381061,25.4409727,-1.35535944,319.331103,1.61836779e-05
5966.100,5750.000,0.661130445,48147.6259,253.423503,9.78365674,25.8124869,-1.35444288,319.119195,1.61664376e-05
6016.100,5800.000,0.657709603,47842.1043,253.089262,9.78350288,26.1840012,-1.35352631,318.907287,1.61491973e-05
6066.100,5850.000,0.654288761,47536.5827,252.755021,9.78334902,26.5555154,-1.35260975,318.695379,1.61319569e-05
6116.100,5900.000,0.650867919,47231.0611,252.420781,9.78319517,26.9270297,-1.35169318,318.483471,1.61147166e-05
6166.100,5950.000,0.647447077,46925.5395,252.08654,9.78304132,27.2985439,-1.35077662,318.271563,1.60974763e-05
6216.100,6000.000,0.644026235,46620.0179,251.7523,9.78288747,27.6700582,-1.34986005,318.059655,1.6080236e-05
