time,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,xhat_0,xhat_1,xhat_2,xhat_3,xhat_4,xhat_5,xhat_6,xhat_7,xhat_8,xhat_9,input_0
4.28,-5.966926936940906,58.39006163902332,723.1285259873116,-1.5124772833184448,15.053300504035155,112.03271338289353,0.983618118541217,-0.06992660252161671,-0.001064683763273091,0.1661460989618794,-0.01283455202731228,-0.0026250830209229234,0.07826957775267432,-3.930997908900541e-05,-9.309238904462982e-07,0.055454127574028476,0.0010113528123163451,-0.01604316606268972,86.05903672549057,0.9630156055081989,-0.0001299060660609651,-3.381933807945233e-05,0.26944558917960326,-0.25476590765046825
4.32,-6.027246645285972,58.99123721825065,727.5951575110385,-1.5035252126331207,15.005564611341752,111.29965528311949,0.9833396887771709,-0.07017273934632891,-0.0010468981246100494,0.16768345119800734,-0.012853468720086952,-0.002301058698340653,0.0777255552557606,-3.947519599363443e-05,-3.486850517171517e-07,0.05487060319271058,0.0009437082237091923,-0.016136956494500577,85.2589379039795,0.9624156768809454,-0.0001316952687921427,-3.396925432071131e-05,0.2715806443696562,-0.25573032576355276
4.36,-6.087209657789882,59.590514144277535,732.0325652364705,-1.4946328211012971,14.958369189018379,110.5715367629303,0.983060618588293,-0.07041986933652729,-0.0010232556650209058,0.16920935985493024,-0.012847220175851257,-0.00196910406617701,0.07719726676186629,-3.964809206119544e-05,-1.0427410851466863e-06,0.05429951774741499,0.0008732376448749122,-0.016227968312843174,84.46673981990486,0.9618174039266825,-0.00013349835324318862,-3.4094335642137635e-05,0.27369191168082196,-0.25654418008429497
4.4,-6.146816819882597,60.187913273695024,736.4409420049012,-1.4857210388091293,14.911668984787056,109.84807269031998,0.9827809089091107,-0.07066789172896104,-0.0009947329124140093,0.17072415406914349,-0.012873149441779133,-0.0017450746189242505,0.07667762780300957,-3.969270900579943e-05,-1.6142780767308107e-06,0.0537411642081224,0.0008086760029064308,-0.016316262939751466,83.68228844930752,0.9612208000797076,-0.0001353038782146623,-3.425431323251358e-05,0.2757799013953508,-0.25719948159066897
4.44,-6.206066266033675,60.783454279345015,740.8204753639294,-1.4767441891769875,14.865428248048946,109.1290522598062,0.9825005115722711,-0.07091739836340626,-0.000964389056651751,0.17222814023681554,-0.012969729707121066,-0.001686277885788527,0.07616077198472043,-3.9893662711714375e-05,-5.786693506790839e-07,0.053194191620681376,0.0007490630941924586,-0.0164010229123121,82.90543351556332,0.9606258699282152,-0.00013710113404237056,-3.443429951994567e-05,0.27784513319872645,-0.25769696584901824
4.48,-6.264955396133427,61.377155703551146,745.1713454500718,-1.4677134579069682,14.819650023585936,108.41451546901848,0.9822193288550028,-0.07116933878258964,-0.0009356295934359655,0.17372173608238978,-0.013138309119670595,-0.001767165468227962,0.07565652161151042,-4.07580571676809e-05,7.717940511373759e-08,0.052658610132390475,0.0006836349546253161,-0.016483351561399236,82.13602837282238,0.9600326269309828,-0.00013891853109966666,-3.457623595320158e-05,0.27988807536964155,-0.2580485370206724
4.5200000000000005,-6.3234830508542474,61.96903569869575,749.4937265542289,-1.4586712805698223,14.774357158814855,107.70461034650889,0.9819372895670343,-0.07142449543263284,-0.0009105764729318779,0.17520525001735637,-0.013356287884482697,-0.0019210261506262154,0.0751595049501613,-4.087046928338462e-05,4.2501291619698366e-07,0.052136255298079366,0.0006150749246410212,-0.016567594721102353,81.37392989376148,0.9594410794469557,-0.00014077353774620278,-3.470766193987941e-05,0.2819091946848307,-0.25824214791879435
4.5600000000000005,-6.381649562880707,62.559112270135884,753.7877909632035,-1.4496611270332926,14.729522986465872,106.99910705206436,0.9816543633620225,-0.07168336188964612,-0.0008900039515111047,0.17667887358476328,-0.013587941301255825,-0.0020679216725170606,0.07466972005290315,-4.0695846216655304e-05,6.716539684993583e-07,0.051623729492431755,0.000545477360298412,-0.01664873562932234,80.61899836460093,0.9588512102734997,-0.00014263761030509816,-3.483112906722471e-05,0.2839090259191305,-0.2582935183909019
4.6000000000000005,-6.439457182927719,63.1474045593339,758.0537222818168,-1.440727860052054,14.685128708496528,106.29781234539037,0.9813705732260767,-0.07194599768392784,-0.0008730130966898943,0.1781427025277372,-0.013794267822715008,-0.0021332797911850954,0.07418751604138521,-4.052478755054251e-05,1.681867555414083e-06,0.05112296710480958,0.0004755532632832169,-0.01672494558906147,79.87109737890148,0.9582630341483613,-0.00014449446515612524,-3.4940245108421984e-05,0.2858879768113819,-0.25820588292823965
4.64,-6.496909571640175,63.73393044188923,762.2916902961784,-1.431893717066485,14.641174148508073,105.60066850845989,0.9810859893169065,-0.07221200695592783,-0.000857494348613733,0.17959674632976194,-0.01395385884917343,-0.002088879961640013,0.07371256301282357,-4.1258574907803543e-05,1.3150657044867905e-06,0.05063313342919569,0.0004004716113916716,-0.01679632826211376,79.13009373778584,0.9576765404048757,-0.00014636223654004957,-3.5015615228819884e-05,0.2878465238806102,-0.2579828524159514
4.68,-6.5540103845196365,64.31870620290921,766.501847183586,-1.4231608107289186,14.59768361785509,104.90780586196848,0.9808006869430426,-0.07248086029996431,-0.0008414036878970781,0.18104101596213973,-0.014064149141662825,-0.0019466340574102005,0.07324576999197543,-4.1905987298001044e-05,5.47476549860167e-07,0.05015330963419831,0.00032912696201156265,-0.01686866139610439,78.39585735256206,0.9570917223141351,-0.00014824946628023644,-3.511008317913997e-05,0.28978511326005096,-0.25763168852008167
4.72,-6.610763661257146,64.90175272751246,770.6843841335491,-1.4145058543984104,14.55466696199871,104.21926943815058,0.9805147519436532,-0.07275196857966118,-0.0008229423994475162,0.18247553108973483,-0.014142651172052207,-0.001755062285008844,0.07278459030794136,-4.1982104500742565e-05,5.247889980335316e-07,0.049683173148303894,0.00026394790031728237,-0.01694133846618575,77.66826115437732,0.9565085794722243,-0.00015014905955154845,-3.524263176584523e-05,0.29170415425434754,-0.25716016486685717
4.76,-6.6671715604039195,65.48308775879092,774.8394654741526,-1.4058869465896133,14.512077418365752,103.53473212729918,0.9802282268693944,-0.07302506428820264,-0.0008016979397962374,0.1839003863908058,-0.014215622095123432,-0.0015704714832987473,0.07232937872900605,-4.204615945016335e-05,4.425194034736194e-07,0.049222414741394854,0.00020015222498022113,-0.017010768439073794,76.9471810038311,0.9559271108566219,-0.00015205349011918325,-3.537916917139114e-05,0.2936040434962746,-0.2565677479873808
4.8,-6.723234853640385,66.06272681487225,778.9672371265549,-1.3972765680340526,14.469905199514255,102.85413458118926,0.9799411132025515,-0.0733001778586388,-0.0007782295830492848,0.1853157524146598,-0.014306221470149672,-0.001434494692012656,0.07188149055697157,-4.195961858160896e-05,-6.244646797887725e-09,0.048769099402737534,0.00013809934149661178,-0.017076911040610678,76.23249560295542,0.9553473150114794,-0.00015395576091161643,-3.551690060911758e-05,0.2954851650024592,-0.2558753068537623
4.84,-6.778953541403093,66.64068719457622,783.067863052224,-1.388656918811444,14.428140976273687,102.17742173056918,0.9796533843494034,-0.07357761542072444,-0.0007538690452742114,0.18672185584611783,-0.014431937091143121,-0.001371096734535218,0.07143982836455605,-4.177848266362985e-05,7.584379387529128e-07,0.048325361705627214,8.00117235202447e-05,-0.017138889657215904,75.52408641263733,0.9547692101251234,-0.00015584701754766897,-3.56773480904954e-05,0.2973478263513654,-0.25509207786541865
4.88,-6.834327302419356,67.21698581685412,787.1415041207425,-1.3800323008854005,14.386792758706287,101.5046467379294,0.979365002804025,-0.07385784940789865,-0.0007301601866903303,0.18811890102172737,-0.01459478695614974,-0.001373452229297113,0.07100217052419086,-4.1782120579074036e-05,8.165260459197616e-07,0.04789110254546966,1.8476691829894795e-05,-0.01719620444473027,74.82183757174317,0.9541927850512179,-0.0001577390550163815,-3.580614431638135e-05,0.2991924176721579,-0.25420589335366156
4.92,-6.8893563882861235,67.79163896352043,791.1883124160153,-1.371422885718627,14.345885154651386,100.83596378825126,0.9790759345143305,-0.07414128707157461,-0.0007081690914338218,0.18950707382402454,-0.014785120670968653,-0.001415672279348112,0.07057059643576127,-4.241569619467261e-05,4.544034180348291e-07,0.047462258260709766,-4.214480270838529e-05,-0.017250019614055128,74.12563581892555,0.953618025570326,-0.00015963644061597676,-3.593954609210527e-05,0.3010193258445525,-0.25323413492078933
4.96,-6.9440416990756555,68.3646641310135,795.2084524068999,-1.3628428768264418,14.305374694846684,100.1710492968858,0.9787861656623711,-0.07442823694813072,-0.0006884265606882916,0.19088650897726211,-0.01498602144232063,-0.0014609720086768397,0.07014441593856918,-4.2699394391130735e-05,7.81465583689772e-07,0.0470403841887749,-9.935270314179615e-05,-0.01730410742423434,73.43537041724296,0.9530449633102253,-0.00016154418364484094,-3.609126569034338e-05,0.3028287808480376,-0.2521900855257113
5.0,-6.998384869845476,68.93607735115098,799.2020760062378,-1.3543120615746178,14.265252814382684,99.50981251086641,0.9784957099623333,-0.07471877877640096,-0.000670653332085327,0.1922572806305896,-0.015180089779033084,-0.001477126596752074,0.06972093424764866,-4.342943854735223e-05,1.7852792231631102e-06,0.046626300816957233,-0.00015726977984232247,-0.017356365971636742,72.75093308349412,0.9524736092122676,-0.00016346746045087986,-3.62415486997346e-05,0.3046210690663011,-0.2510739616886002
5.04,-7.05238784460653,69.50589212913191,803.1693106076821,-1.345842320038053,14.22551755907878,98.85221181832374,0.9782045906412331,-0.07501282297831928,-0.0006541510064143251,0.19361945165257027,-0.015356502935299127,-0.0014477286963244305,0.06930518065144559,-4.354278622366253e-05,1.758618759165939e-06,0.04621847528723315,-0.00021979333787111908,-0.017409378738928918,72.07221791562648,0.9519039601362453,-0.00016543295408182995,-3.6361213154896836e-05,0.3063965110550924,-0.24988695858446722
5.08,-7.1060534573146485,70.07412572518186,807.1103176631816,-1.337441040514391,14.186178146531368,98.19827698277481,0.9779128612082536,-0.07531013404310137,-0.0006378107960076673,0.19497302841431183,-0.015509358189943184,-0.001368829638887053,0.06889134331733503,-4.42236750100352e-05,2.1362640611365766e-06,0.04581565382807521,-0.0002808317107798664,-0.01745948971324207,71.39912132755218,0.9513360290994586,-0.00016740185142345308,-3.648062338035095e-05,0.3081553672793294,-0.24864550342133615
5.12,-7.159384334218431,70.64079382614156,811.0252403739116,-1.329107627783726,14.147259405899014,97.54815377417944,0.9776205736318624,-0.0756104697346384,-0.0006207622811953219,0.19631800037260472,-0.015642603391239466,-0.0012536796039051652,0.06848169244886616,-4.454551761662444e-05,2.542655901940674e-06,0.04541946045813596,-0.0003426972072552043,-0.017509966175043037,70.73154198048333,0.9507698423066216,-0.00016940230190865265,-3.659876053667384e-05,0.3098978491755511,-0.24734753507161963
5.16,-7.212382873706472,71.20591292349384,814.9142296218863,-1.320822582831823,14.108725358751903,96.90158525982008,0.9773277599106852,-0.07591363540956914,-0.000602425410400915,0.19765444899911697,-0.015766145224136927,-0.0011247828767617992,0.06807657741771844,-4.524298565366296e-05,2.5732306171603893e-06,0.04502820870764833,-0.0004055100555316079,-0.017558698971441362,70.06938072256135,0.9502054029772629,-0.00017141892703399683,-3.6703548303127155e-05,0.3116242311201401,-0.24599773116965376
5.2,-7.2650506791056175,71.7694981532765,818.7774259193047,-1.3125692667985331,14.070561424331876,96.25846581087156,0.9770344428471627,-0.07621957116080472,-0.0005827487175546177,0.19898244217049804,-0.015892203829819627,-0.001005620223477571,0.06767560793810584,-4.553814770893643e-05,2.9738668450292984e-06,0.044641537108502355,-0.0004671029244054899,-0.017607776904667416,69.41254052532098,0.9496427330465542,-0.00017346162095583983,-3.68195695642356e-05,0.3133347221858058,-0.24461014777066672
5.24,-7.317388788385597,72.33156461545626,822.6149702728329,-1.3043359275998168,14.03276116337381,95.61874738486011,0.9767406328049089,-0.07652836865028224,-0.0005621573450964166,0.2003020507244109,-0.016031354305391706,-0.0009132781112580317,0.06727546141637245,-4.629704734479603e-05,2.9205965041913948e-06,0.04426086316159161,-0.0005295413056441043,-0.017654896232601597,68.76092642656214,0.949081857737017,-0.00017551886573765018,-3.692419252413946e-05,0.3150295147191512,-0.2431737432417841
5.28,-7.369397847387415,72.8921258843119,826.4269898274947,-1.296117736387976,13.995319319247564,94.9823903670954,0.9764463191030024,-0.0768402162840277,-0.0005412683397189022,0.2016133926097269,-0.016189205678068874,-0.0008534375730930209,0.06687947245361556,-4.6884674094743384e-05,4.22448345594337e-06,0.043883135883857706,-0.0005902722479154818,-0.017702595865252878,68.11444547082341,0.9485227807301918,-0.0001776093960084517,-3.704543455452061e-05,0.3167088592357381,-0.24170776263177968
5.32,-7.42107821004041,73.45119629582629,830.2136274254448,-1.2879004731438337,13.95819878391843,94.34946057546924,0.9761514922268395,-0.0771553792948718,-0.0005207908276333065,0.20291656241170364,-0.016366663218243156,-0.0008220682202226639,0.06648664239794731,-4.664222413905264e-05,4.719767581845154e-06,0.0435108617257008,-0.0006567128852658418,-0.017749861295542426,67.47300665598006,0.9479655434249457,-0.00017973683906777132,-3.712283086759076e-05,0.3183728864014831,-0.2402096466478326
5.36,-7.472427548306517,74.0087822350614,833.975020168343,-1.2795633107693887,13.921081881460276,93.72009320976758,0.9758556811971955,-0.07747987565841966,-0.0005022041448640478,0.2042116578099447,-0.017164085966737717,-0.0007841599005435849,0.06609588617445017,-4.697157929782541e-05,4.498670837090214e-06,0.04314267688376995,-0.0007243078508660065,-0.01779213886992296,66.83652087984596,0.9474101526472719,-0.00018185838026476067,-3.718268527865962e-05,0.3200218245774039,-0.23867518116985403
5.4,-7.523440528227189,74.56488112540544,837.7112993136863,-1.2710800956373873,13.883863591115349,93.09407249128012,0.975557807077736,-0.07782738819818216,-0.0004879824334104889,0.2054987106773507,-0.018732893053757492,-0.0007146450844945469,0.06571032256739548,-4.7711087759315695e-05,5.114868409478523e-06,0.04277700065907887,-0.0007891495505074306,-0.017832555814696654,66.20490088528484,0.9468566317537458,-0.00018398462385079808,-3.725936208875913e-05,0.32165584662080904,-0.23712182577428514
5.44,-7.57411290832527,75.1194925297618,841.4225979662375,-1.2625378504151914,13.846733562746445,92.4712763101029,0.9752569487595362,-0.07820939602570136,-0.000479898947000667,0.20677775195297315,-0.02066323080983347,-0.0006105388198944836,0.06533068193238167,-4.778515706557932e-05,5.802725179925239e-06,0.04241620480338372,-0.000855714206530293,-0.017873281301764677,65.57806121209838,0.9463050213358289,-0.00018614916641838386,-3.7318066624325005e-05,0.32327506948486723,-0.23553197834276532
5.48,-7.624444702614301,75.67262634669392,845.1090543180497,-1.2540570338851094,13.809974940989207,91.85161042420084,0.9749529414749258,-0.0786278276518698,-0.00047777478623755627,0.20804877001144606,-0.022395472848557335,-0.000484233671229377,0.06494786547967672,-4.7604812252926845e-05,5.564205577267444e-06,0.0420564416418284,-0.000924295627350037,-0.017910740451966542,64.95591814983966,0.9457553315041922,-0.00018832916863235452,-3.735844776649824e-05,0.32487969476079304,-0.23393727195042885
