# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​),Corrective moment Coefficient ()
125.422,39.069,-5.391,5.802,-0.011,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.319,293.153,NaN,NaN
125.698,37.583,-5.394,5.804,0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.372,293.153,NaN,NaN
125.973,36.097,-5.393,5.775,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.37,293.153,NaN,NaN
126.249,34.612,-5.392,5.807,-0.004,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.337,293.153,NaN,NaN
126.524,33.127,-5.393,5.811,0.026,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.479,293.153,NaN,NaN
126.8,31.643,-5.386,5.736,-0.023,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.292,293.153,NaN,NaN
127.075,30.157,-5.392,5.729,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.353,293.153,NaN,NaN
127.351,28.673,-5.392,5.74,0.005,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.374,293.153,NaN,NaN
127.626,27.189,-5.39,5.769,-0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.343,293.153,NaN,NaN
127.901,25.704,-5.391,5.782,0.001,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.351,293.153,NaN,NaN
128.176,24.22,-5.391,5.772,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.354,293.153,NaN,NaN
128.452,22.737,-5.39,5.783,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.355,293.153,NaN,NaN
128.727,21.253,-5.39,5.798,0.018,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.44,293.153,NaN,NaN
129.002,19.771,-5.385,5.735,5.646e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.393,293.153,NaN,NaN
129.278,18.288,-5.385,5.792,-0.014,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.317,293.153,NaN,NaN
129.553,16.804,-5.388,5.776,0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.366,293.153,NaN,NaN
129.828,15.322,-5.387,5.748,0.03,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.511,293.153,NaN,NaN
130.103,13.84,-5.379,5.667,-0.026,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.296,293.153,NaN,NaN
130.379,12.357,-5.386,5.646,-0.004,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.338,293.153,NaN,NaN
130.654,10.875,-5.387,5.651,0.009,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.391,293.153,NaN,NaN
130.929,9.394,-5.385,5.682,-5.178e-4,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.362,293.153,NaN,NaN
131.204,7.912,-5.385,5.712,0.015,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.437,293.153,NaN,NaN
131.479,6.431,-5.381,5.767,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.405,293.153,NaN,NaN
131.755,4.95,-5.38,5.831,-0.017,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.31,293.153,NaN,NaN
132.03,3.468,-5.385,5.814,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.362,293.153,NaN,NaN
132.305,1.987,-5.384,5.788,0.002,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.362,293.153,NaN,NaN
132.674,0,-5.384,5.752,-0.003,NaN,NaN,2588.655,0.287,0,63.479,-8.062,0,25.341,293.153,NaN,NaN
